Begin Time:2021-05-13T17:36:22.633
[2021-05-13T17:36:22.633 info Netsdk:48184 14224:12524 AVNetSDKMgr.cpp:378]Load avnetsdk library dynamically
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:15040 dhnetsdk.cpp:825]IP:192.168.1.116, port:8000, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:14856 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334A780, pstOutParam:000001B1B3356880.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:14856 dhnetsdk.cpp:825]IP:170.242.1.154, port:8005, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.772 info Netsdk:48184 14224:2984 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334BE40, pstOutParam:000001B1B3356C80.
[2021-05-13T17:36:22.772 info Netsdk:48184 14224:2984 dhnetsdk.cpp:825]IP:170.242.0.130, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.772 info Netsdk:48184 14224:2560 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334ACC0, pstOutParam:000001B1B3355280.
[2021-05-13T17:36:22.772 info Netsdk:48184 14224:2560 dhnetsdk.cpp:825]IP:196.6.1.170, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.772 info Netsdk:48184 14224:2644 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334B3C0, pstOutParam:000001B1B3356A80.
[2021-05-13T17:36:22.772 info Netsdk:48184 14224:10364 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3359370, pstOutParam:000001B1B3355380.
[2021-05-13T17:36:22.772 info Netsdk:48184 14224:2644 dhnetsdk.cpp:825]IP:196.6.1.210, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.772 info Netsdk:48184 14224:13252 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334A400, pstOutParam:000001B1B3356D80.
[2021-05-13T17:36:22.772 info Netsdk:48184 14224:10364 dhnetsdk.cpp:825]IP:170.242.0.235, port:8004, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.772 info Netsdk:48184 14224:13252 dhnetsdk.cpp:825]IP:170.242.0.130, port:8002, SpeCap:0, CapParam:0000000000000000.
